timestamp, x, y, orientation, signal strength, ping time
1477454539977560.00,6.30127048,0.00769375,0.00122173,-37,0.92
1477454540071280.00,6.31103659,0.00770654,0.00139626,-39,1.96
1477454540172390.00,6.34071827,0.00774885,0.00139626,-40,0.98
1477454540273540.00,6.37044239,0.00778173,0.0005236,-36,1.97
1477454540364060.00,6.40029478,0.00778245,-0.00087266,-36,0.93
1477454540467460.00,6.41010332,0.00777302,-0.00087266,-37,1
1477454540567140.00,6.43969965,0.00774463,-0.0010472,-41,0.94
1477454540675430.00,6.46942377,0.00771263,-0.00139626,-42,0.91
1477454540766480.00,6.49914837,0.00768774,-0.0005236,-39,1.44
1477454540865210.00,6.50887156,0.00768265,-0.0005236,-44,0.92
1477454540968410.00,6.53838253,0.00769436,0.00191986,-43,1.14
1477454541064980.00,6.56810665,0.00773494,0.00034907,-43,1
1477454541168070.00,6.59766054,0.00773574,-0.00139626,-43,0.92
1477454541270360.00,6.62712908,0.00767223,-0.00314159,-44,0.92
1477454541374640.00,6.63680935,0.00764012,-0.00401426,-42,2.42
1477454541490720.00,6.66666126,0.00748565,-0.00610865,-39,0.88
1477454541578140.00,6.69604397,0.0073019,-0.00628319,-38,0.95
1477454541666370.00,6.72568226,0.00708439,-0.00785398,-42,1.07
1477454541766280.00,6.73544788,0.00700856,-0.00750492,-39,0.95
1477454541870200.00,6.76521397,0.00680337,-0.00593412,-41,0.9
1477454541966690.00,6.79502296,0.00662211,-0.00610865,-42,1.02
1477454542067950.00,6.81485319,0.00650881,-0.00558505,-35,0.91
1477454542168470.00,6.83455515,0.00639018,-0.00663225,-36,0.94
1477454542268130.00,6.864151,0.00617927,-0.00820305,-36,1.33
1477454542386330.00,6.89417267,0.00591814,-0.00855211,-36,0.91
1477454542469740.00,6.91400242,0.00575897,-0.00698132,-38,0.89
1477454542569410.00,6.94359779,0.0055739,-0.00593412,-34,3.07
1477454542672550.00,6.97323656,0.00542046,-0.00366519,-40,0.92
1477454542768620.00,6.98313046,0.00538679,-0.00296706,-36,0.95
1477454542876330.00,7.01285458,0.00532285,-0.0015708,-36,1.13
1477454542969030.00,7.03259993,0.00528925,-0.00191986,-40,0.89
1477454543068320.00,7.06219578,0.00521697,-0.00349066,-39,0.91
1477454543166710.00,7.09174967,0.00509916,-0.00541052,-38,0.89
1477454543268990.00,7.12147331,0.00492879,-0.00558505,-36,0.99
1477454543374100.00,7.13132429,0.00487463,-0.00541052,-35,0.92
1477454543477010.00,7.1608777,0.00470947,-0.00680678,-39,0.9
1477454543568310.00,7.19047308,0.00450801,-0.00593412,-35,0.94
1477454543669510.00,7.22032499,0.00432561,-0.00680678,-35,0.94
1477454543781670.00,7.23017597,0.0042594,-0.00645772,-37,0.91
1477454543868970.00,7.25994253,0.00407328,-0.00715585,-36,0.88
1477454544002730.00,7.28975105,0.00386597,-0.00628319,-37,2.41
1477454544105010.00,7.30949593,0.00374618,-0.00593412,-39,1.18
1477454544211560.00,7.33921957,0.00356722,-0.00575959,-37,1.04
1477454544296530.00,7.36890078,0.00341346,-0.00453786,-39,2
1477454544397790.00,7.37883759,0.00336924,-0.00418879,-39,0.88
1477454544488640.00,7.40834808,0.00326886,-0.00279253,-42,1.07
1477454544597010.00,7.43820047,0.003222,0,-39,0.96
